order_id,customer_name,email,city,country,product_name,category,quantity,price,total_amount,order_date,status
106,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
107,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
108,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
109,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
110,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
111,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
112,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
113,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
114,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
115,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
116,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
117,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
118,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
119,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
120,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
121,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
122,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
123,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
124,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
125,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
126,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
127,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
128,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
129,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
130,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
131,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
132,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
133,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
134,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
135,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
136,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
137,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
138,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
139,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
140,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
141,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
142,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
143,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
144,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
145,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
146,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
147,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
148,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
149,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
150,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
151,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
152,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
153,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
154,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
155,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
156,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
157,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
158,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
159,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
160,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
161,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
162,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
163,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
164,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
165,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
166,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
167,Jane Smith,jane.smith@example.com,Los Angeles,USA,Smartphone,Electronics,2,500,1000,18-02-2025 14:12,Pending
168,Alice Johnson,alice.johnson@example.com,Chicago,USA,Headphones,Electronics,1,50,50,05-03-2025 09:30,Completed
169,John Doe,john.doe@example.com,New York,USA,Laptop,Electronics,1,800,800,15-01-2025 10:25,Completed
